Datetime,Dn,Dm,Dx,Sn,Sm,Sx,source_file,Ta,Ua,Pa,Th,Vh,Vs,Vr,Rc,Rd,Ri,Hc,Hd,Hi
2025-01-22_120002,66.0,104.0,133.0,1.9,4.9,5.7,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_122007,26.0,64.0,110.0,6.0,8.3,10.9,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_124002,58.0,103.0,131.0,5.4,6.9,9.1,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_130007,93.0,109.0,145.0,1.4,2.7,3.8,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_132003,130.0,59.0,331.0,2.0,5.2,9.0,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_134008,55.0,101.0,129.0,3.3,4.3,6.8,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_140002,27.0,67.0,220.0,0.8,1.7,3.4,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_142002,36.0,63.0,113.0,2.1,5.5,7.6,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_144002,9.0,81.0,120.0,3.2,5.6,7.6,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_150002,112.0,34.0,335.0,2.4,3.9,5.5,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_152002,15.0,97.0,139.0,2.6,4.8,7.3,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_154002,28.0,81.0,120.0,2.2,3.7,6.2,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_160003,67.0,36.0,0.0,3.8,5.4,8.0,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_162007,291.0,132.0,321.0,0.8,1.8,2.4,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_164002,152.0,93.0,346.0,0.5,2.4,3.9,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_170002,23.0,122.0,142.0,1.5,2.7,3.5,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_172002,198.0,231.0,242.0,0.9,1.6,1.8,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_174007,129.0,144.0,162.0,2.2,4.3,5.0,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_180002,153.0,176.0,192.0,0.7,1.0,1.4,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_182002,180.0,123.0,350.0,2.4,2.9,3.7,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_184007,29.0,87.0,138.0,2.2,3.6,4.9,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_190002,54.0,29.0,349.0,4.7,6.0,7.1,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_192002,126.0,234.0,218.0,0.3,0.8,2.9,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_194007,29.0,87.0,140.0,1.6,2.4,3.1,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
2025-01-22_200002,31.0,12.0,355.0,3.2,5.1,7.5,VPMI.2025.022.0R1.csv,,,,,,,,,,,,,
