,Erruption Activity,VPCC RSAM,VPPC RSAM,VPNC RSAM,VPRS RSAM,VPRS Field E,VPRS Field N,VPRS Field Z,CO2 Concentration
2025-02-04 18:31:00+00:00,0.0,58.91019248486676,836.3334286764607,276.9618186482365,82.99873306011565,-0.00679,1.980625,0.0347125,343.92285714285714
2025-02-04 18:32:00+00:00,0.0,58.690699744359016,834.3961673783581,276.47449960997346,80.52846656572119,-0.0068175,1.9806125,0.034715,343.7209523809524
2025-02-04 18:33:00+00:00,0.0,58.47120700385126,832.4589060802554,275.9871805717105,78.05820007132671,-0.006855,1.9806125,0.034715,343.5190476190476
2025-02-04 18:34:00+00:00,0.0,58.25171426334352,830.5216447821526,275.4998615334475,75.58793357693224,-0.006885,1.9806075,0.034715,343.31714285714287
2025-02-04 18:35:00+00:00,0.0,58.03222152283577,828.58438348405,275.01254249518445,73.11766708253776,-0.006895,1.98061,0.034715,343.1152380952381
2025-02-04 18:36:00+00:00,0.0,57.81272878232802,826.6471221859473,274.5252234569214,70.6474005881433,-0.0069275,1.9806075,0.034715,342.91333333333336
2025-02-04 18:37:00+00:00,0.0,57.59323604182027,824.7098608878446,274.0379044186584,68.17713409374882,-0.006945,1.9806075,0.034715,342.7114285714286
2025-02-04 18:38:00+00:00,0.0,57.37374330131252,822.7725995897418,273.55058538039543,65.70686759935435,-0.0069675,1.9806025,0.034715,342.5095238095238
2025-02-04 18:39:00+00:00,0.0,57.154250560804776,820.8353382916392,273.0632663421324,63.236601104959874,-0.007005,1.980595,0.034715,342.307619047619
2025-02-04 18:40:00+00:00,0.0,56.93475782029703,818.8980769935365,272.5759473038694,60.7663346105654,-0.007035,1.9805875,0.0347175,342.10571428571427
2025-02-04 18:41:00+00:00,0.0,58.829610716050226,824.8006736078937,273.7979222413602,60.70025946788462,-0.0070825,1.9805925,0.0347175,341.9038095238095
2025-02-04 18:42:00+00:00,0.0,60.724463611803415,830.7032702222508,275.01989717885095,60.63418432520383,-0.007095,1.9805925,0.0347175,341.70190476190476
2025-02-04 18:43:00+00:00,0.0,62.61931650755661,836.605866836608,276.24187211634177,60.56810918252305,-0.0071125,1.98059,0.0347175,341.44904761904763
2025-02-04 18:44:00+00:00,0.0,64.51416940330981,842.5084634509652,277.4638470538325,60.50203403984227,-0.007135,1.9805925,0.0347175,341.39809523809527
2025-02-04 18:45:00+00:00,0.0,66.409022299063,848.4110600653224,278.68582199132334,60.43595889716149,-0.0071525,1.9805925,0.0347175,341.34714285714284
2025-02-04 18:46:00+00:00,0.0,68.30387519481619,854.3136566796795,279.90779692881415,60.3698837544807,-0.007205,1.9805775,0.03472,341.2961904761905
2025-02-04 18:47:00+00:00,0.0,70.19872809056938,860.2162532940367,281.1297718663049,60.30380861179992,-0.0072425,1.9805925,0.03472,341.2452380952381
2025-02-04 18:48:00+00:00,0.0,72.09358098632256,866.1188499083939,282.3517468037957,60.23773346911914,-0.00728,1.98059,0.03472,341.19428571428574
2025-02-04 18:49:00+00:00,0.0,73.98843388207577,872.021446522751,283.5737217412865,60.171658326438354,-0.00732,1.980585,0.03472,341.1433333333333
2025-02-04 18:50:00+00:00,0.0,75.88328677782896,877.9240431371082,284.7956966787773,60.105583183757574,-0.0073425,1.9805825,0.0347225,341.09238095238095
2025-02-04 18:51:00+00:00,0.0,75.04391832608296,882.7938421521932,285.55849079641456,60.719841890638975,-0.0073575,1.98058,0.0347225,341.0414285714286
2025-02-04 18:52:00+00:00,0.0,74.20454987433696,887.6636411672782,286.3212849140518,61.33410059752038,-0.0073775,1.9805775,0.0347225,340.9904761904762
2025-02-04 18:53:00+00:00,0.0,73.36518142259098,892.5334401823632,287.08407903168904,61.948359304401784,-0.0074125,1.980575,0.0347225,340.9395238095238
2025-02-04 18:54:00+00:00,0.0,72.52581297084498,897.4032391974481,287.84687314932626,62.56261801128319,-0.0074275,1.9805725,0.034725,340.8885714285714
2025-02-04 18:55:00+00:00,0.0,71.68644451909898,902.273038212533,288.6096672669635,63.17687671816459,-0.00745,1.9805675,0.034725,340.83761904761906
2025-02-04 18:56:00+00:00,0.0,70.84707606735299,907.142837227618,289.3724613846008,63.791135425045994,-0.007455,1.980565,0.0347275,340.7866666666667
2025-02-04 18:57:00+00:00,0.0,70.00770761560699,912.012636242703,290.135255502238,64.4053941319274,-0.007495,1.9805625,0.0347275,340.73571428571427
2025-02-04 18:58:00+00:00,0.0,69.168339163861,916.882435257788,290.8980496198753,65.01965283880881,-0.0075175,1.980545,0.03473,340.6847619047619
2025-02-04 18:59:00+00:00,0.0,68.32897071211501,921.752234272873,291.6608437375125,65.63391154569021,-0.0075475,1.9805475,0.0347325,340.63380952380953
2025-02-04 19:00:00+00:00,0.0,67.48960226036901,926.622033287958,292.42363785514976,66.24817025257161,-0.007575,1.9805475,0.0347325,340.58285714285716
2025-02-04 19:01:00+00:00,0.0,65.72916757448981,924.273669379214,292.2572131937263,67.25082149509072,-0.0075925,1.980515,0.0347325,340.53190476190474
